WB_id,public_name,logFC
WBGene00015932,C17H12.6,3.709695375
WBGene00016475,srab-9,3.707284889
WBGene00015629,C09B9.4,3.701055708
WBGene00019977,fpn-1.2,3.697722387
WBGene00000799,crn-6,3.68267734
WBGene00000665,col-90,3.673619664
WBGene00019931,R07C12.1,3.672909301
WBGene00017592,F19C7.2,3.667975521
WBGene00010036,cpar-1,3.653614177
WBGene00017853,F27C1.3,3.652256841
WBGene00000781,cpr-1,3.651484127
WBGene00014759,F46A8.1,3.607809978
WBGene00016669,ilys-2,3.595046365
WBGene00018381,F43C11.4,3.595046365
WBGene00007153,clec-41,3.580437189
WBGene00015929,C17H12.3,3.569141514
WBGene00010256,F58E6.7,3.543674599
WBGene00007851,clec-245,3.536839484
WBGene00196854,CD4.13,3.536839484
WBGene00008286,C54C6.4,3.536344331
WBGene00018882,F55E10.2,3.528610293
WBGene00017214,F07E5.9,3.52559399
WBGene00001726,grl-17,3.52401414
WBGene00009905,clec-240,3.517259065
WBGene00015006,B0041.1,3.517259065
WBGene00077574,T08G5.16,3.517259065
WBGene00005274,srh-51,3.501865893
WBGene00009215,thn-2,3.471766439
WBGene00010212,fbxa-192,3.469978787
WBGene00044119,srh-191,3.466023369
WBGene00048376,21ur-1991,3.466023369
WBGene00019549,K09C4.4,3.451005205
WBGene00195056,C45E1.5,3.435749633
WBGene00199228,H19M22.8,3.435749633
WBGene00003522,nas-3,3.428637737
WBGene00020989,W03D8.8,3.398085136
WBGene00010509,K02E2.8,3.385356794
WBGene00200160,T28B11.17,3.385356794
WBGene00200839,F53B3.11,3.385356794
WBGene00010265,F58G1.3,3.3783402
WBGene00019917,clec-43,3.37631883
WBGene00008581,acl-13,3.37213941
WBGene00003957,pcp-2,3.363347989
WBGene00010103,F55C9.6,3.362682962
WBGene00007833,oac-6,3.358884586
WBGene00008792,F14D7.5,3.339504214
WBGene00003761,nlp-23,3.334186786
WBGene00020122,R160.5,3.330263563
WBGene00010361,H03G16.5,3.316237408
WBGene00020435,T11F8.4,3.316237408
WBGene00023266,F07E5.10,3.316237408
WBGene00044905,T26E3.11,3.316237408
WBGene00184956,F49C5.12,3.316237408
WBGene00016285,C31B8.12,3.314928935
WBGene00010749,K10D11.5,3.303989375
WBGene00006214,str-170,3.288247346
WBGene00044427,F56A6.5,3.288247346
WBGene00009914,F49H6.13,3.273568329
WBGene00015069,srt-67,3.263317025
WBGene00007867,C32H11.4,3.261860731
WBGene00016063,C24G7.1,3.24457956
WBGene00011458,T05A6.4,3.243639148
WBGene00017918,F29A7.8,3.243639148
WBGene00197793,T22B7.11,3.243639148
WBGene00198952,F35B3.9,3.243639148
WBGene00008100,C44H9.5,3.241041868
WBGene00010746,K10D11.2,3.2273555
WBGene00020128,R193.2,3.21260689
WBGene00011023,R05A10.6,3.185873485
WBGene00006979,zig-2,3.164694793
WBGene00005599,srj-11,3.160034501
WBGene00006110,str-45,3.155947779
WBGene00017805,F26A1.7,3.155947779
WBGene00009898,dod-23,3.142660728
WBGene00015455,C04G6.5,3.129930661
WBGene00011459,T05A6.5,3.110238068
WBGene00020546,T17A3.10,3.110238068
WBGene00015026,B0207.1,3.097809517
WBGene00009908,F49H6.5,3.08397686
WBGene00001691,grd-2,3.077028592
WBGene00005622,srj-38,3.063032591
WBGene00044418,C08G5.7,3.063032591
WBGene00017598,F19F10.1,3.055074178
WBGene00008497,F01D5.7,3.038972671
WBGene00009979,cutl-1,3.023349003
WBGene00008815,srz-103,3.015894603
WBGene00014301,DY3.t2,3.015894603
WBGene00023461,F53G12.12,3.015894603
WBGene00202153,F39B1.5,3.015894603
WBGene00017752,sdz-15,3.011207781
WBGene00009857,clec-28,3.00525468
WBGene00016644,C44C1.5,2.998143853
WBGene00019214,H20E11.2,2.99728476
WBGene00018643,F49F1.1,2.992209719
WBGene00015528,C06E2.2,2.988434453
WBGene00012045,T26E4.3,2.983871029
WBGene00005012,F26F4.2,2.970319294
WBGene00011816,srt-55,2.970319294
WBGene00018284,F41E6.1,2.970319294
WBGene00167853,21ur-7667,2.970319294
WBGene00017948,F31D5.5,2.969939884
WBGene00007080,sfxn-1.1,2.958684127
WBGene00045209,F13E9.16,2.958684127
WBGene00197643,F13H6.12,2.958684127
WBGene00044684,T08G11.2,2.957246289
WBGene00019533,K08D10.10,2.945857983
WBGene00023069,rncs-1,2.941877874
WBGene00017099,E02H9.1,2.896726573
WBGene00018180,srsx-22,2.892913373
WBGene00016526,fbxa-8,2.884232186
WBGene00005403,srh-189,2.877404107
WBGene00005706,sru-43,2.877404107
WBGene00005912,srx-21,2.877404107
WBGene00006222,str-178,2.877404107
WBGene00008381,D1081.3,2.877404107
WBGene00010820,M01G12.6,2.877404107
WBGene00198296,H34C03.19,2.877404107
WBGene00199650,C54G6.7,2.877404107
WBGene00023106,K11H12.t1,2.865661697
WBGene00011160,R09D1.4,2.864806108
WBGene00019605,K10B2.2,2.859621806
WBGene00015696,C10H11.7,2.852336738
WBGene00007567,C14A6.3,2.834421408
WBGene00001731,grl-22,2.828601649
WBGene00014521,T19C4.t1,2.828601649
WBGene00019371,K03H9.1,2.828601649
WBGene00199464,T22B7.14,2.828601649
WBGene00008631,F10A3.1,2.818615072
WBGene00006546,tbx-9,2.812505362
WBGene00017969,F32A5.3,2.807095972
WBGene00009856,clec-24,2.796766929
WBGene00005161,srg-3,2.792175054
WBGene00008892,clec-246,2.791966617
WBGene00195179,F48C1.11,2.787389195
WBGene00013608,clec-35,2.781401101
WBGene00044265,Y105E8B.11,2.78067485
WBGene00198313,C29E6.13,2.78067485
WBGene00196953,F59D12.10,2.779738478
WBGene00004020,pho-1,2.772273159
WBGene00004901,snf-2,2.760454996
WBGene00010116,F55F3.2,2.75777136
WBGene00005809,srw-62,2.754287286
WBGene00195182,C17G10.10,2.750913677
WBGene00009493,hrg-4,2.750752702
WBGene00010274,F58G6.3,2.750352217
WBGene00197505,C01F4.6,2.737686398
WBGene00018252,F40H3.6,2.725561188
WBGene00009228,F28G4.3,2.724162076
WBGene00006261,str-230,2.713765918
WBGene00200809,T04C12.28,2.707284889
WBGene00017694,F22B7.3,2.7044015
WBGene00014813,M176.9,2.698958758
WBGene00018708,oac-32,2.68670474
WBGene00017364,clec-7,2.68377414
WBGene00010168,F56H6.7,2.67987517
WBGene00018620,F48G7.9,2.67987517
WBGene00020440,T12A2.6,2.67987517
WBGene00005223,srg-66,2.679636401
WBGene00008839,sre-37,2.679636401
WBGene00001765,gst-17,2.669503621
WBGene00077751,F14D2.17,2.66424372
WBGene00020746,srbc-66,2.652609129
WBGene00006251,str-220,2.652256841
WBGene00011798,T16G1.4,2.651853075
WBGene00015910,C17F4.2,2.644032647
WBGene00044455,F23F12.13,2.639833008
WBGene00019215,H20E11.3,2.628368325
WBGene00044309,F58F9.11,2.623935172
WBGene00015338,catp-2,2.61806592
WBGene00019676,K12D9.12,2.615644232
WBGene00021070,W07B8.1,2.614995536
WBGene00009897,F49E12.1,2.611485158
WBGene00009008,F21D5.3,2.608327827
WBGene00007876,dct-19,2.60727691
WBGene00012180,W01D2.3,2.60727691
WBGene00196590,B0035.19,2.60727691
WBGene00010473,cdr-5,2.606632663
WBGene00077757,E02H4.7,2.596106619
WBGene00019084,F59A6.2,2.595046365
WBGene00016004,C18H9.6,2.578633041
WBGene00001079,dpy-20,2.573780142
WBGene00005333,srh-114,2.570985278
WBGene00011390,T02G6.7,2.570985278
WBGene00021028,W04C9.6,2.558706393
WBGene00016477,srab-11,2.557148904
WBGene00007245,C01G12.5,2.552197354
WBGene00007729,clec-185,2.549261332
WBGene00045089,C05H8.3,2.548480855
WBGene00019557,K09C6.3,2.54582486
WBGene00020004,R11E3.2,2.541959778
WBGene00007605,C15C8.3,2.541534155
WBGene00023502,clec-184,2.539852506
WBGene00008584,F08G5.6,2.519547271
WBGene00005722,srv-11,2.517986611
WBGene00006195,str-148,2.515414194
WBGene00020642,T20H9.6,2.513480334
WBGene00009860,clec-32,2.511767901
WBGene00013607,clec-27,2.505201865
WBGene00000861,cwp-3,2.501865893
WBGene00005998,srx-107,2.501865893
WBGene00006271,str-244,2.501865893
WBGene00010938,M163.6,2.501865893
WBGene00015054,B0222.2,2.501865893
WBGene00172516,21ur-11602,2.501865893
WBGene00044163,F49C5.11,2.487635168
WBGene00044285,thn-8,2.487149371
WBGene00011219,srxa-10,2.486672347
WBGene00010634,K07F5.6,2.486221163
WBGene00015829,math-15,2.482364125
WBGene00019105,F59D6.3,2.481984235
WBGene00006418,tag-38,2.476054739
WBGene00043980,F11D5.7,2.466067666
WBGene00012090,T27E7.5,2.466023369
WBGene00019685,K12H6.5,2.464601083
WBGene00005184,srg-27,2.462382226
WBGene00010118,F55F3.4,2.457771539
WBGene00194645,Y105C5A.1269,2.455287455
WBGene00018343,F42A10.7,2.454262131
WBGene00010388,srz-42,2.447538046
WBGene00015759,C14C6.5,2.445973768
WBGene00008657,clec-154,2.439825994
WBGene00008799,F14E5.1,2.436298275
WBGene00000005,aat-4,2.436175193
WBGene00019934,R07C12.4,2.434079325
WBGene00005556,sri-44,2.430476494
WBGene00011297,R102.10,2.430476494
WBGene00009420,F35E8.6,2.429267633
WBGene00005283,srh-61,2.42551067
WBGene00017679,F21F8.5,2.423646146
WBGene00020578,T19D12.3,2.423203374
WBGene00004139,pqn-54,2.422299346
WBGene00008560,pho-13,2.421569886
WBGene00005411,srh-200,2.413503436
WBGene00003093,lys-4,2.413021501
WBGene00014761,F46A8.11,2.409412843
WBGene00011721,T11G6.7,2.407783848
WBGene00044696,F52E1.14,2.401694993
WBGene00020938,clec-218,2.395381281
WBGene00006215,str-171,2.385356794
WBGene00011203,R10E4.7,2.385356794
WBGene00015763,C14C6.12,2.385356794
WBGene00019949,R08C7.5,2.385356794
WBGene00020129,R193.3,2.385356794
WBGene00045094,D1007.20,2.385356794
WBGene00047361,21ur-4145,2.385356794
WBGene00077462,JC8.15,2.385356794
WBGene00196618,F59D12.9,2.385356794
WBGene00200941,T25C12.9,2.385356794
WBGene00010464,K01D12.5,2.385341033
WBGene00173624,21ur-13156,2.385331518
WBGene00000755,col-182,2.382841721
WBGene00010125,dod-22,2.380027847
WBGene00008202,clec-197,2.378045422
WBGene00045124,C07A9.14,2.373721626
WBGene00019530,scrm-8,2.372360753
WBGene00005188,srg-31,2.372315275
WBGene00009073,F23B2.3,2.370375265
WBGene00015447,srab-2,2.370225632
WBGene00015342,C02E7.10,2.369884073
WBGene00023501,F11E6.11,2.368279454
WBGene00008042,C40H1.7,2.366228179
WBGene00017343,F10E7.1,2.364881304
WBGene00016064,acd-1,2.364573183
WBGene00005855,srw-108,2.363103731
WBGene00006175,str-124,2.359708569
WBGene00008123,C47A4.2,2.355107693
WBGene00004103,pqn-11,2.353919896
WBGene00194888,K10H10.13,2.347809192
WBGene00016893,C53B7.2,2.345644767
WBGene00009816,F47B10.5,2.339647083
WBGene00009152,F26D2.14,2.339432688
WBGene00167159,21ur-8552,2.337629628
WBGene00009087,F23D12.3,2.335984643
WBGene00006404,tag-10,2.334556666
WBGene00004240,puf-4,2.333957056
WBGene00015982,C18G1.3,2.333957056
WBGene00017725,F22H10.1,2.333957056
WBGene00045487,C08E8.7,2.333957056
WBGene00197067,T27B1.3,2.333957056
WBGene00020691,T22E5.3,2.32968136
WBGene00020218,T04G9.7,2.317279344
WBGene00005433,srh-223,2.316237408
WBGene00045095,mrpr-1,2.316237408
WBGene00011161,R09D1.5,2.310165772
WBGene00006223,str-179,2.307197631
WBGene00045309,srg-52,2.299269686
WBGene00017203,F07C4.10,2.297893043
WBGene00044151,W04G3.12,2.297780223
WBGene00019081,F59A3.8,2.292441606
WBGene00195828,Y105C5B.1414,2.292441606
WBGene00019494,K07E8.1,2.288247346
WBGene00019146,H02F09.3,2.283442792
WBGene00202069,T20G5.17,2.281288108
WBGene00004006,pgp-12,2.276323085
WBGene00003845,odd-1,2.275397931
WBGene00018671,F52C6.14,2.267374237
WBGene00005892,srx-1,2.263839088
WBGene00006277,str-250,2.25915481
WBGene00019706,M01D7.1,2.255622086
WBGene00003571,ncx-6,2.25142941
WBGene00006165,str-114,2.243639148
WBGene00007494,C09G9.3,2.243639148
WBGene00014282,C37A5.t1,2.243639148
WBGene00014424,K07A1.t1,2.243639148
WBGene00016776,oac-11,2.243639148
WBGene00017869,F28A10.1,2.243639148
WBGene00018439,fbxa-184,2.243639148
WBGene00023073,F56F4.t2,2.243639148
WBGene00044379,F40H7.12,2.243639148
WBGene00045017,F36H1.13,2.243639148
WBGene00047244,21ur-2622,2.243639148
WBGene00196240,C25F6.12,2.243639148
WBGene00197463,F32A6.8,2.243639148
WBGene00197884,F01F1.16,2.243639148
WBGene00198999,F28B4.6,2.243639148
WBGene00200170,DL2.2,2.243639148
WBGene00045481,M153.5,2.243384218
WBGene00008793,F14D7.6,2.243032986
WBGene00015151,B0348.1,2.242503887
WBGene00014841,T19C4.10,2.24205921
WBGene00015065,B0228.8,2.24205921
WBGene00003442,msp-49,2.241041868
WBGene00004848,sls-2.16,2.241041868
WBGene00005217,srg-60,2.241041868
WBGene00005302,srh-81,2.241041868
WBGene00007406,C07A9.10,2.241041868
WBGene00009345,F32H2.8,2.241041868
WBGene00012288,sre-32,2.241041868
WBGene00015421,C04E6.4,2.241041868
WBGene00016941,C55B6.5,2.241041868
WBGene00017406,sdz-12,2.241041868
WBGene00020454,fbxa-56,2.241041868
WBGene00049556,21ur-5151,2.241041868
WBGene00172161,21ur-12084,2.241041868
WBGene00195508,C11E4.9,2.241041868
WBGene00012172,W01B6.5,2.2333537
WBGene00005412,srh-201,2.227651688
WBGene00044054,C04H5.9,2.226438096
WBGene00019569,K09D9.12,2.222912567
WBGene00015772,C14E2.3,2.211850061
WBGene00003877,pept-1,2.210677843
WBGene00014809,M142.3,2.209046489
WBGene00044122,T28B8.6,2.206400896
WBGene00044974,C27H6.5,2.204918687
WBGene00011566,nhr-214,2.200570803
WBGene00077523,C23H5.12,2.196977785
WBGene00200355,F22A3.15,2.195712349
WBGene00016361,C33G8.3,2.179232619
WBGene00007368,C06B8.2,2.17726247
WBGene00008487,F01D4.3,2.175825701
WBGene00015911,C17F4.3,2.175825701
WBGene00008180,C48D5.3,2.175688624
WBGene00009518,clec-166,2.169193691
WBGene00011803,T16G12.1,2.163782933
WBGene00000007,aat-6,2.162981995
WBGene00197017,F25G6.15,2.161942618
WBGene00016424,C34H4.1,2.160755655
WBGene00010277,F58G6.7,2.160650148
WBGene00009217,F28D1.8,2.157658463
WBGene00009873,F49C12.3,2.155947779
WBGene00015944,C18A3.7,2.155947779
WBGene00020927,W02B3.7,2.155947779
WBGene00197661,R12B2.9,2.155947779
WBGene00198890,F55D1.3,2.155947779
WBGene00019532,K08D10.9,2.150846978
WBGene00005580,sri-68,2.149293474
WBGene00007482,C09F12.2,2.146958924
WBGene00017794,mltn-13,2.141315892
WBGene00010102,F55C9.5,2.141151213
WBGene00019763,galt-1,2.137631831
WBGene00018315,F41H10.2,2.135235535
WBGene00000659,col-84,2.131145695
WBGene00044778,K09C6.10,2.131145695
WBGene00010088,F55B12.2,2.130314614
WBGene00011149,R08H2.8,2.12988626
WBGene00020105,R148.7,2.128974891
WBGene00009395,clec-64,2.125779138
WBGene00018190,F38H12.5,2.124725078
WBGene00016398,C34D4.2,2.120694208
WBGene00199730,W08D2.11,2.119963023
WBGene00016939,C55B6.1,2.107402022
WBGene00017581,F18G5.5,2.102222805
WBGene00019738,clec-265,2.10094076
WBGene00201309,K10D6.22,2.100491016
WBGene00007857,C31H5.6,2.100443385
WBGene00009706,F44G3.2,2.098630257
WBGene00020788,T25B6.2,2.098155229
WBGene00008097,ugt-15,2.094020144
WBGene00010261,srh-308,2.093425235
WBGene00005144,srd-67,2.090387868
WBGene00016431,C35A11.4,2.090216238
WBGene00020878,T28A11.16,2.090064285
WBGene00016010,C23G10.1,2.085037514
WBGene00044168,M05D6.10,2.084041178
WBGene00008490,F01D4.8,2.080807879
WBGene00016017,C23G10.11,2.080463483
WBGene00012201,W02B12.1,2.075181314
WBGene00045156,T02E1.9,2.07472169
WBGene00006954,wrt-8,2.07092265
WBGene00020675,T22B11.1,2.064242742
WBGene00003888,R07G3.6,2.063032591
WBGene00013621,clec-239,2.063032591
WBGene00017474,F14H12.7,2.063032591
WBGene00043187,nspa-9,2.063032591
WBGene00201803,C55A6.21,2.063032591
WBGene00005933,srx-42,2.062147908
WBGene00019906,R05G9R.1,2.06080785
WBGene00015258,B0554.5,2.060754304
WBGene00044287,F21H12.7,2.056390457
WBGene00013648,Y105C5B.7,2.055883211
WBGene00017601,F19F10.5,2.054915122
WBGene00015152,B0348.2,2.05220814
WBGene00044090,srbc-33,2.050514307
WBGene00010719,K09E4.1,2.047796122
WBGene00007320,C05B5.2,2.042173194
WBGene00003538,nas-19,2.041403001
WBGene00008602,oac-14,2.039048184
WBGene00003958,pcp-3,2.037765602
WBGene00007875,dod-24,2.035153142
WBGene00017068,D2092.8,2.032020322
WBGene00005745,srv-34,2.029878339
WBGene00008855,F15D3.5,2.021788685
WBGene00018779,F53H8.3,2.017292089
WBGene00005476,srh-270,2.015894603
WBGene00014835,T09F5.4,2.015894603
WBGene00201466,C32A3.6,2.015894603
WBGene00011852,clec-26,2.01567637
WBGene00005744,ops-1,2.010083865
WBGene00008299,C54D10.4,2.010083865
WBGene00008659,clec-151,2.010083865
WBGene00006688,twk-36,2.007305466
WBGene00000185,arg-1,2.003164275
WBGene00009236,F28H7.2,2.001469686
WBGene00189954,F40G9.18,2.001306893
WBGene00016273,C30G12.1,1.999009003
WBGene00009485,F36G9.3,1.998914351
WBGene00004483,rps-14,1.997841475
WBGene00007380,C06C6.6,1.997332403
WBGene00017867,F27E11.1,1.995079568
WBGene00013825,Y116F11B.9,1.990338578
WBGene00006028,srx-137,1.98873429
WBGene00009230,oac-18,1.978236004
WBGene00010218,sre-30,1.978236004
WBGene00008433,D2089.2,1.972890164
WBGene00002186,kel-10,1.971028629
WBGene00006000,srx-109,1.970319294
WBGene00016410,C34E10.9,1.970319294
WBGene00017655,F21C10.5,1.970319294
WBGene00022937,C16H3.t2,1.970319294
WBGene00044074,mltn-5,1.970319294
WBGene00049769,21ur-3315,1.970319294
WBGene00077558,T06D10.3,1.970319294
WBGene00023506,srz-11,1.963441333
WBGene00009984,F53F1.6,1.961260365
WBGene00006611,tre-5,1.961010787
WBGene00045242,C05B5.11,1.958684127
WBGene00008647,F10C2.7,1.958098054
WBGene00016664,C45E5.1,1.952089636
WBGene00000539,cln-3.1,1.951242857
WBGene00007672,fbxa-136,1.950410798
WBGene00008741,F13D12.6,1.949637893
WBGene00010883,M7.7,1.948733382
WBGene00011801,T16G1.7,1.946049099
WBGene00017205,F07C4.12,1.94465321
WBGene00019036,F58E1.4,1.944114663
WBGene00008596,clec-54,1.944096844
WBGene00009523,clec-165,1.94325508
WBGene00016525,fbxa-12,1.940031491
WBGene00007891,C33B4.2,1.928155334
WBGene00171909,21ur-15405,1.924146208
WBGene00019928,clec-44,1.922925026
WBGene00044147,M163.11,1.922582163
WBGene00005424,srh-214,1.921456123
WBGene00009875,F49C12.5,1.919713048
WBGene00016360,C33G8.2,1.916699354
WBGene00006007,srx-116,1.91407887
WBGene00008574,srbc-61,1.909577727
WBGene00015311,C01G5.9,1.909185298
WBGene00005092,srd-14,1.908877656
WBGene00009301,F31F6.2,1.903104757
WBGene00019529,K08D10.5,1.898918888
WBGene00009630,F42E8.1,1.898869758
WBGene00011853,clec-40,1.896127614
WBGene00018907,F55G1.15,1.8947488
WBGene00018412,nhr-37,1.894130699
WBGene00005749,srw-2,1.892913373
WBGene00195453,T04C12.15,1.892913373
WBGene00007601,C15C6.2,1.89176501
WBGene00005573,sri-61,1.888917933
WBGene00007455,ugt-22,1.884309894
WBGene00019400,K04G7.1,1.881345542
WBGene00000729,col-156,1.881060868
WBGene00044719,clec-172,1.880170016
WBGene00021137,W10G11.4,1.877404107
WBGene00200379,F13H6.26,1.877404107
WBGene00015281,C01B10.7,1.877255844
WBGene00197923,F57G12.6,1.873574005
WBGene00017681,F21F8.11,1.872382063
WBGene00018551,F47C12.8,1.870487314
WBGene00007536,daf-36,1.863643373
WBGene00014666,C05D12.3,1.863199379
WBGene00005097,srd-19,1.861562747
WBGene00001106,dsl-4,1.85783148
WBGene00169538,21ur-10927,1.852336738
WBGene00009904,F49E12.12,1.850426997
WBGene00017262,F08F3.4,1.847411939
WBGene00001158,ech-9,1.843185817
WBGene00009517,clec-167,1.842605091
WBGene00015050,clec-51,1.839361867
WBGene00009232,nkat-1,1.837885325
WBGene00020787,T25B6.1,1.837885325
WBGene00049014,21ur-1549,1.837885325
WBGene00001756,gst-8,1.835668664
WBGene00009263,F30A10.4,1.834968494
WBGene00044908,F38A1.15,1.834253423
WBGene00005595,srj-7,1.83386091
WBGene00017751,F23F12.3,1.833819551
WBGene00010825,M01G12.14,1.831291487
WBGene00005743,srv-32,1.82715239
WBGene00050958,F28B1.10,1.824859702
WBGene00010107,F55C9.11,1.822648856
WBGene00006930,vit-6,1.822479068
WBGene00005656,srr-5,1.822197954
WBGene00007949,C35A5.5,1.821095275
WBGene00019932,R07C12.2,1.819716376
WBGene00045475,T07A5.7,1.81395682
WBGene00011307,R186.6,1.813512895
WBGene00003959,pcp-4,1.811337016
WBGene00019383,K04E7.1,1.811217718
WBGene00017050,D2024.1,1.810261157
WBGene00005891,srw-144,1.809563656
WBGene00019145,H02F09.2,1.80640072
WBGene00009685,F44D12.8,1.801925307
WBGene00009473,F36D3.8,1.800733832
WBGene00011006,ugt-47,1.796699865
WBGene00044296,F10C1.9,1.78852495
WBGene00020579,T19D12.4,1.787357979
WBGene00020258,T05E7.1,1.785631359
WBGene00194925,K08D8.11,1.784753296
WBGene00010373,H08M01.1,1.783728143
WBGene00010595,haao-1,1.783310431
WBGene00010728,K09G1.2,1.783056777
WBGene00020598,T20B6.2,1.783056777
WBGene00023336,T03D3.8,1.78067485
WBGene00045458,F17B5.8,1.780262149
WBGene00006075,str-7,1.772612151
WBGene00000979,dhs-16,1.769018772
WBGene00009360,F33E2.4,1.76749144
WBGene00008070,C43D7.8,1.765438381
WBGene00008091,C44F1.1,1.763600718
WBGene00007152,clec-225,1.763464575
WBGene00011022,R05A10.5,1.758786388
WBGene00019321,K02E10.7,1.757924815
WBGene00011321,fil-1,1.756704332
WBGene00018640,F49E10.2,1.75459382
WBGene00018621,F48G7.10,1.751577642
WBGene00015246,scl-23,1.750183776
WBGene00015261,B0563.1,1.749224285
WBGene00005630,srj-51,1.748994556
WBGene00005887,srw-140,1.748994556
WBGene00008190,clec-114,1.748994556
WBGene00011491,T05F1.5,1.748994556
WBGene00014703,C47A4.4,1.748994556
WBGene00017822,clec-216,1.748994556
WBGene00019267,H39E20.1,1.748994556
WBGene00077555,F28C12.8,1.748994556
WBGene00200214,C17H12.35,1.748994556
WBGene00200580,C28G1.7,1.748994556
WBGene00012102,T27F6.1,1.748327557
WBGene00010204,F57F5.1,1.746877848
WBGene00011800,T16G1.6,1.746506332
WBGene00009048,cth-1,1.744496949
WBGene00015913,C17F4.7,1.742856405
WBGene00007232,C01G10.5,1.741084834
WBGene00011388,T02G6.5,1.738427038
WBGene00008471,E03H4.3,1.73364404
WBGene00015694,ugt-27,1.733126488
WBGene00020773,T24E12.3,1.731274908
WBGene00044333,C01G12.13,1.731274908
WBGene00044655,fbxa-194,1.731274908
WBGene00015388,C03F11.2,1.724453179
WBGene00008205,sams-1,1.719674009
WBGene00044107,F58G6.9,1.717822348
WBGene00010226,F58A4.1,1.712103742
WBGene00044633,F54H12.7,1.711518286
WBGene00006163,str-112,1.71142051
WBGene00005904,srx-13,1.711399883
WBGene00008607,F09B12.3,1.711293714
WBGene00009971,F53C11.1,1.710893587
WBGene00020326,math-38,1.708563485
WBGene00018342,F42A10.6,1.708091719
WBGene00009019,F21D9.5,1.706719527
WBGene00015663,C10A4.2,1.706617084
WBGene00009494,hrg-5,1.704371857
WBGene00050967,C25F9.15,1.694977107
WBGene00021111,W09C3.3,1.693767937
WBGene00015609,math-4,1.69361258
WBGene00007218,C01A2.6,1.692899717
WBGene00011165,R09D1.9,1.692242595
WBGene00044152,W04G3.10,1.688532838
WBGene00009150,clec-234,1.684877112
WBGene00014353,F28F8.t4,1.684877112
WBGene00017092,E02C12.6,1.68463469
WBGene00044783,T26H5.10,1.683383006
WBGene00016843,C50F7.3,1.679988986
WBGene00006094,str-28,1.67987517
WBGene00006178,str-129,1.67987517
WBGene00020041,R13A1.1,1.67987517
WBGene00202091,K08A8.29,1.67987517
WBGene00007866,C32H11.3,1.677479452
WBGene00019839,R02F11.1,1.674783567
WBGene00197966,B0393.14,1.674093038
WBGene00000618,col-41,1.673186765
WBGene00020623,srab-21,1.672777855
WBGene00077664,C43D7.11,1.672550616
WBGene00011494,T05F1.9,1.671619801
WBGene00011565,nhr-272,1.669408514
WBGene00008199,C49C3.9,1.668867064
WBGene00015692,ugt-25,1.668200474
WBGene00003525,nas-6,1.667652614
WBGene00000176,aqp-8,1.667460879
WBGene00016912,clec-86,1.665599368
WBGene00008593,clec-227,1.66481815
WBGene00007275,C03D6.1,1.663618133
WBGene00011341,T01G5.6,1.658676648
WBGene00005537,sri-25,1.65821671
WBGene00016691,srbc-23,1.658130061
WBGene00044243,F16C3.4,1.657926126
WBGene00201458,VF15C11L.2,1.657246161
WBGene00011185,R10D12.1,1.6561714
WBGene00018141,oac-21,1.655524302
WBGene00008754,F13E9.5,1.646348922
WBGene00016687,srbc-17,1.64242568
WBGene00011594,T07G12.3,1.639809834
WBGene00196063,F25G6.12,1.639809834
