WB_id	symbol	sequence	live_dead	type	logFC	logCPM	PValue	FDR
62	WBGene00000079	adr-1	H15N14.1	Live	protein_coding_gene	-0.526740643271948	6.6115550801853	6.72143334056257e-08	1.57629553469031e-07
63	WBGene00000080	adr-2	T20H4.4	Live	protein_coding_gene	-0.190270333863011	5.19803003712857	0.0322560960329778	0.0424723551884074
64	WBGene00000081	ads-1	Y50D7A.7	Live	protein_coding_gene	-0.22779342095713	7.99007409160461	0.0145713671873986	0.0200337065237518
65	WBGene00000082	adt-1	C02B4.1	Live	protein_coding_gene	-3.45977014135318	4.55091488105217	7.00013015302538e-28	4.95090686674714e-27
66	WBGene00000083	adt-2	F08C6.1	Live	protein_coding_gene	-0.00810725759121094	7.24876945857002	0.944625645572646	0.95321133628489
67	WBGene00000084	aex-1	D2030.10	Live	protein_coding_gene	0.896248385953752	3.74593547945832	6.38623717711652e-10	1.74449149057148e-09
68	WBGene00000085	aex-2	T14B1.2	Live	protein_coding_gene	1.15334037601943	3.17776214895691	1.01610530707455e-11	3.16018679868006e-11
69	WBGene00000086	aex-3	C02H7.3	Live	protein_coding_gene	1.09267684996474	6.047053366245	5.52282372381681e-29	4.08141802747701e-28
70	WBGene00000088	aex-5	F32A7.6	Live	protein_coding_gene	0.288168854500711	4.42728454136753	0.014753864291422	0.02026710573391
71	WBGene00000089	aex-6	Y87G2A.4	Live	protein_coding_gene	0.499078396526058	4.38385600127522	0.000402612717124947	0.000665998999152632
72	WBGene00000090	age-1	B0334.8	Live	protein_coding_gene	-0.00982433638890966	5.47799024187776	0.921269687014311	0.932665897887818
73	WBGene00000092	ags-3	F32A6.4	Live	protein_coding_gene	0.790822604526775	3.6817619151996	7.33663701584077e-08	1.7132776021665e-07
74	WBGene00000093	agt-1	Y62E10A.5	Live	protein_coding_gene	-1.07976882835841	2.44129350685848	2.39204231108853e-10	6.75183878190971e-10
75	WBGene00000094	agt-2	F09E5.13	Live	protein_coding_gene	0.106306403282054	1.97859055989309	0.634441921315304	0.670539236741036
76	WBGene00000095	aha-1	C25A1.11	Live	protein_coding_gene	0.356092699456291	5.39617031775038	0.000670590770860741	0.00108167597930708
77	WBGene00000096	ahr-1	C41G7.5	Live	protein_coding_gene	0.0107790358431535	2.66886862853194	0.982331331594769	0.987433277028375
78	WBGene00000097	aip-1	F58E10.4	Live	protein_coding_gene	-0.598160591622943	4.7470198010695	0.000161182896851711	0.000277559390250115
79	WBGene00000098	air-1	K07C11.2	Live	protein_coding_gene	-2.2413924693715	4.34189539904599	1.153836465539e-73	3.13572027693539e-72
80	WBGene00000099	air-2	B0207.4	Live	protein_coding_gene	-1.45208572958823	3.47922500885639	5.09521120757875e-22	2.77571756998642e-21
81	WBGene00000100	ajm-1	C25A11.4	Live	protein_coding_gene	0.323985848568823	8.89122287048155	0.00141226894177608	0.00219543208337317
82	WBGene00000101	aka-1	D1022.7	Live	protein_coding_gene	-0.0779653272083961	6.88237947262054	0.375632163813538	0.417200763872625
83	WBGene00000102	akt-1	C12D8.10	Live	protein_coding_gene	-0.0473584993213401	7.52214111624331	0.630909159119469	0.66719936328059
84	WBGene00000103	akt-2	F28H6.1	Live	protein_coding_gene	0.0769565317186024	6.04141871066405	0.480651516380233	0.522337887366089
85	WBGene00000105	alg-1	F48F7.1	Live	protein_coding_gene	-0.511666420466279	8.76172734131328	9.91598377979722e-08	2.29392214011074e-07
86	WBGene00000106	alg-2	T07D3.7	Live	protein_coding_gene	-0.751055550361487	6.26534290449836	1.63836977220699e-12	5.38181923796983e-12
87	WBGene00000107	alh-1	F54D8.3	Live	protein_coding_gene	1.57580253834108	10.2993011015582	8.53080056964161e-33	7.23375522548296e-32
88	WBGene00000108	alh-2	K04F1.15	Live	protein_coding_gene	4.43197514308197	1.73890338221003	0.00286325545590115	0.00429128763493263
89	WBGene00000109	alh-3	F36H1.6	Live	protein_coding_gene	-1.26749499552814	7.33276984430356	1.2798526154418e-21	6.84212361267545e-21
90	WBGene00000110	alh-4	T05H4.13	Live	protein_coding_gene	0.795163636959785	7.35810554369129	6.06713170849054e-17	2.56853267304172e-16
91	WBGene00000111	alh-5	T08B1.3	Live	protein_coding_gene	0.183559854946439	6.06688146169688	0.0776362522303187	0.0967840351476423
92	WBGene00000112	alh-6	F56D12.1	Live	protein_coding_gene	-0.807828014065003	6.499785250036	2.17989853272027e-19	1.05296818838515e-18
93	WBGene00000113	alh-7	F45H10.1	Live	protein_coding_gene	-0.191902041701188	5.92143001913244	0.253969161562761	0.290964429397797
94	WBGene00000114	alh-8	F13D12.4	Live	protein_coding_gene	0.127365552064465	11.2599405517958	0.276964658036922	0.315166137800444
95	WBGene00000115	alh-9	F01F1.6	Live	protein_coding_gene	-1.12850374745449	6.73972844410977	4.90612442259363e-18	2.2075247873197e-17
96	WBGene00000116	alh-10	C54D1.4	Live	protein_coding_gene	-0.381986514832015	3.72187785071027	0.0136487239414473	0.0188447916985837
97	WBGene00000117	alh-11	F42G9.5	Live	protein_coding_gene	0.368631931367075	6.09045969404518	8.72302957789781e-05	0.000154636996676139
98	WBGene00000118	alh-12	Y69F12A.2	Live	protein_coding_gene	0.439066057117405	7.78760992137155	1.60107716749127e-05	3.02954514371912e-05
99	WBGene00000120	aly-1	C01F6.5	Live	protein_coding_gene	-0.828917801176931	5.28125302661596	7.21295039067115e-06	1.41106236163355e-05
100	WBGene00000121	aly-2	F23B2.6	Live	protein_coding_gene	-1.68600960604848	4.87395325033259	2.29071937067388e-27	1.58721252185735e-26
101	WBGene00000122	aly-3	M18.7	Live	protein_coding_gene	-0.0248111709601647	7.57460138297974	0.780449049005818	0.806464017306012
102	WBGene00000123	ama-1	F36A4.7	Live	protein_coding_gene	-0.0770384743596956	7.62498943887561	0.69213926606734	0.725045243462291
103	WBGene00000133	amt-1	C05E11.4	Live	protein_coding_gene	4.4903438845771	2.96567983048926	5.19602524742163e-37	5.14999817256558e-36
104	WBGene00000134	amt-2	F49E11.3	Live	protein_coding_gene	0.683220304328168	2.81274330781668	4.97781729865182e-05	9.01749296120558e-05
105	WBGene00000135	amt-3	M195.3	Live	protein_coding_gene	0.854089049909326	4.29986686704829	6.19543830934173e-12	1.95356819608966e-11
106	WBGene00000136	amt-4	C05E11.5	Live	protein_coding_gene	-0.213417411441558	4.8317220365512	0.151945259949699	0.180864362782546
107	WBGene00000137	amx-1	R13G10.2	Live	protein_coding_gene	-0.31093199880528	4.8280206918764	0.00578114279214264	0.00834316072844286
108	WBGene00000138	amx-2	B0019.1	Live	protein_coding_gene	-0.165064121124949	4.78549802113385	0.202635285556359	0.236100110619766
109	WBGene00000139	amx-3	F25C8.2	Live	protein_coding_gene	0.739614928172682	2.49442699209652	0.000271346211579585	0.000457310007324408
110	WBGene00000140	anc-1	ZK973.6	Live	protein_coding_gene	0.304773219006938	7.58879304434814	0.103097673732186	0.126385764203747
111	WBGene00000142	aos-1	C08B6.9	Live	protein_coding_gene	-0.687893342150754	4.92833170350686	8.63908065846345e-13	2.89966986619436e-12
112	WBGene00000143	apc-2	K06H7.6	Live	protein_coding_gene	-0.155988821521482	4.05426085209825	0.202470326221844	0.235965498588107
113	WBGene00000144	apc-10	F15H10.3	Live	protein_coding_gene	-0.287000235346862	0.514012002182135	0.354974471089271	0.396161799652501
114	WBGene00000145	apc-11	F35G12.9	Live	protein_coding_gene	-0.0322468750574909	3.28601156691088	0.818563501158132	0.840512364753855
115	WBGene00000146	ape-1	F46F3.4	Live	protein_coding_gene	-0.416887365690209	7.2924950708525	3.63644681227393e-06	7.338479814765e-06
116	WBGene00000147	aph-1	VF36H2L.1	Live	protein_coding_gene	-0.166750832800869	4.10838404513688	0.140757942375229	0.168542366917317
117	WBGene00000148	aph-2	ZC434.6	Live	protein_coding_gene	-0.736217232240283	4.4684336998598	3.21398303912578e-12	1.03509478494175e-11
118	WBGene00000149	apl-1	C42D8.8	Live	protein_coding_gene	0.425243046201605	9.50287257322229	3.41440796008802e-06	6.90987011507426e-06
119	WBGene00000150	apm-1	F55A12.7	Live	protein_coding_gene	-0.615414962072244	6.21163691926901	1.57581575662667e-12	5.18228088780877e-12
120	WBGene00000151	apn-1	T05H10.2	Live	protein_coding_gene	0.137690652375265	5.25539924876764	0.197061311502278	0.230317619008946
121	WBGene00000155	app-1	W03G9.4	Live	protein_coding_gene	-1.75079473897437	5.92193473687199	9.93204574494902e-71	2.5087611844649e-69
122	WBGene00000156	1-Apr	K04G2.8	Live	protein_coding_gene	0.078899797023415	6.29784863696436	0.425455266386161	0.467749314898488
123	WBGene00000157	aps-2	F02E8.3	Live	protein_coding_gene	-1.53023672843452	3.99590673123796	9.95565253110048e-35	9.04726240802165e-34
124	WBGene00000158	apg-1	Y105E8A.9	Live	protein_coding_gene	-0.722554765109119	6.42540962232959	3.5931270022715e-16	1.45287309222282e-15
125	WBGene00000159	aps-1	F29G9.3	Live	protein_coding_gene	-0.991218558882332	4.63574987919086	3.15487494688423e-20	1.57381118039972e-19
126	WBGene00000160	apb-1	Y71H2B.10	Live	protein_coding_gene	-0.590155344670165	6.74508949114808	1.43548485161706e-08	3.55200657305796e-08
127	WBGene00000161	apa-2	T20B5.1	Live	protein_coding_gene	-0.522788470224367	7.32156025736796	5.2132917804034e-09	1.33401402320774e-08
128	WBGene00000162	apd-3	W09G10.4	Live	protein_coding_gene	-0.300306480006205	5.60018096460269	0.00107400747127359	0.00169087996082009
129	WBGene00000163	apb-3	R11A5.1	Live	protein_coding_gene	-0.36533209636601	6.65814910651546	1.53730927750797e-05	2.91388876025266e-05
130	WBGene00000164	apm-3	F53H8.1	Live	protein_coding_gene	-1.21658151597925	4.01049206405369	1.22163520799327e-21	6.5357711800073e-21
131	WBGene00000165	aps-3	Y48G8AL.14	Live	protein_coding_gene	-0.794619531303246	4.04592696963952	0.0126286312097951	0.0175089308990015
132	WBGene00000166	apt-9	W04G3.4	Live	protein_coding_gene	0.941721633303018	3.93274743590537	8.80303399757569e-13	2.95124187531084e-12
133	WBGene00000168	apx-1	K08D9.3	Live	protein_coding_gene	-1.82076132615433	2.297715173335	3.14139395273944e-13	1.08151548536381e-12
134	WBGene00000169	aqp-1	F32A5.5	Live	protein_coding_gene	3.563736266541	8.92532095896374	8.82009626233442e-109	5.33001766536513e-107
135	WBGene00000170	aqp-2	C01G6.1	Live	protein_coding_gene	0.479369116872791	8.57703378232032	4.10001262562463e-08	9.78346898103898e-08
136	WBGene00000172	aqp-4	F40F9.9	Live	protein_coding_gene	-0.592834479870958	4.1094706403206	0.000108665233356775	0.000190606671418951
137	WBGene00000173	aqp-5	C35A5.1	Live	protein_coding_gene	1.38988119318541	1.91095017103107	1.87141744740927e-08	4.59103129184577e-08
138	WBGene00000174	aqp-6	C32C4.2	Live	protein_coding_gene	1.05717318135801	2.79586504087002	2.24053054197822e-08	5.46565805181606e-08
139	WBGene00000175	aqp-7	M02F4.8	Live	protein_coding_gene	0.3266654541896	8.56472125402219	3.19356666038934e-05	5.89334643861565e-05
140	WBGene00000176	aqp-8	K02G10.7	Live	protein_coding_gene	-0.772322159569594	4.78420180303395	1.70016095136171e-06	3.54074525889232e-06
141	WBGene00000177	aqp-9	K07A1.16	Live	protein_coding_gene	0.226956456123013	3.10277019690147	0.195540664192648	0.228652301809856
142	WBGene00000178	aqp-10	ZK1321.3	Live	protein_coding_gene	-0.567532219059727	5.84713262198417	2.12040028366716e-08	5.18143198476047e-08
143	WBGene00000179	aqp-11	ZK525.2	Live	protein_coding_gene	-1.17796635056441	4.48174456032594	7.07388270470443e-26	4.5801151942485e-25
144	WBGene00000180	arc-1	ZK1320.6	Live	protein_coding_gene	-0.154277187774169	5.72458485517747	0.0791938353197715	0.0986015917108378
145	WBGene00000181	ard-1	F01G4.2	Live	protein_coding_gene	-0.606826370203872	6.03079597994069	7.42300771762793e-10	2.0180773829132e-09
146	WBGene00000182	arf-1.2	B0336.2	Live	protein_coding_gene	-1.70447904501084	8.82038071962015	1.83015707079085e-100	9.19702090100579e-99
147	WBGene00000183	arf-3	F57H12.1	Live	protein_coding_gene	-1.56306814199339	7.95148995809442	8.38003885840654e-76	2.41486753581687e-74
148	WBGene00000184	arf-6	Y116A8C.12	Live	protein_coding_gene	-0.263790502041398	4.3258703331999	0.0379479585595397	0.0495253018488907
149	WBGene00000186	ark-1	C01C7.1	Live	protein_coding_gene	-0.411751983623742	6.12176753386834	1.8159897613138e-06	3.76827084345642e-06
150	WBGene00000187	arl-1	F54C9.10	Live	protein_coding_gene	-1.53280634765617	5.43395267945744	1.46346432617655e-44	1.86769749571684e-43
151	WBGene00000188	arl-3	F19H8.3	Live	protein_coding_gene	0.323426249229971	4.35630137006154	0.028811176583449	0.0381714774309118
152	WBGene00000189	arl-5	ZK632.8	Live	protein_coding_gene	-1.191762116672	3.16337823966845	1.94866891870449e-15	7.57157793100535e-15
153	WBGene00000190	arf-1.1	F45E4.1	Live	protein_coding_gene	2.31678252026296	0.98220721866912	3.12596994100441e-06	6.34048172993417e-06
154	WBGene00000192	arl-8	Y57G11C.13	Live	protein_coding_gene	-0.51877044122359	6.58879500983174	9.24934578835392e-09	2.32076262054669e-08
155	WBGene00000193	arl-6	C38D4.8	Live	protein_coding_gene	1.15580354443622	2.04443383413244	5.66446311195908e-07	1.22956108956468e-06
156	WBGene00000195	arr-1	F53H8.2	Live	protein_coding_gene	0.170764792833706	4.51509138335853	0.148967807307474	0.177630250292035
157	WBGene00000196	aars-1	W02B12.6	Live	protein_coding_gene	-0.457640213773513	5.05680783831139	4.8696242107003e-07	1.06315179795198e-06
158	WBGene00000197	aars-2	F28H1.3	Live	protein_coding_gene	-1.07649836578886	7.99928982618084	8.26886800625361e-08	1.92438621361008e-07
159	WBGene00000198	art-1	C15F1.6	Live	protein_coding_gene	-0.887133293028508	7.37701647749446	8.73731533831849e-17	3.67290373570289e-16
160	WBGene00000199	arx-1	Y71F9AL.16	Live	protein_coding_gene	-0.561040310355263	6.32354949319276	4.58726255792498e-09	1.18014683590087e-08
161	WBGene00000200	arx-2	K07C5.1	Live	protein_coding_gene	-0.622026614814099	6.50215748725383	5.33033911135377e-12	1.6904587412048e-11
162	WBGene00000201	arx-3	Y79H2A.6	Live	protein_coding_gene	0.0216537188796302	5.72489550919317	0.826912698864503	0.848294797875325
163	WBGene00000202	exos-4.2	Y6D11A.1	Live	protein_coding_gene	-0.752710156457966	4.39947643453619	3.31821260917523e-05	6.11233967699133e-05
164	WBGene00000203	arx-5	Y37D8A.1	Live	protein_coding_gene	-1.06700694809838	4.5175597546426	1.2534047156327e-24	7.65185947881138e-24
165	WBGene00000204	arx-6	C35D10.16	Live	protein_coding_gene	-0.585768840498542	5.39255614406527	2.17882985651959e-09	5.73835991266524e-09
166	WBGene00000205	arx-7	M01B12.3	Live	protein_coding_gene	-0.942478987080636	4.39256602320877	8.9813559147882e-15	3.36026591984317e-14
167	WBGene00000206	asb-1	F35G12.10	Live	protein_coding_gene	-1.72320546510053	4.68430513406277	2.08093641018119e-53	3.44545332562023e-52
168	WBGene00000207	asb-2	F02E8.1	Live	protein_coding_gene	0.0614160018190382	9.82834033528489	0.554158470877751	0.593794524907313
169	WBGene00000208	trip-4	Y53F4B.15	Live	protein_coding_gene	0.266359199304968	5.01911054025953	0.0727662698716145	0.0910579744081487
170	WBGene00000209	asg-1	K07A12.3	Live	protein_coding_gene	-1.57727989563838	5.98048707056413	7.43700212553128e-61	1.48346440726823e-59
171	WBGene00000210	asg-2	C53B7.4	Live	protein_coding_gene	-0.103273542905942	6.97508763384574	0.434088403391089	0.476363046001622
172	WBGene00000211	asm-1	B0252.2	Live	protein_coding_gene	-0.13963895288084	2.79330710213395	0.492366847703196	0.534056194547499
173	WBGene00000212	asm-2	ZK455.4	Live	protein_coding_gene	-0.73685505828557	4.71855214319996	0.005889312611129	0.00849071222232631
174	WBGene00000213	asm-3	W03G1.7	Live	protein_coding_gene	-4.8314470544095	2.09571724721089	7.45771682741585e-53	1.20416482978861e-51
175	WBGene00000214	asp-1	Y39B6A.20	Live	protein_coding_gene	-0.805091494148298	12.1381717859109	7.1526209523806e-10	1.94715524196911e-09
176	WBGene00000215	asp-2	T18H9.2	Live	protein_coding_gene	-1.1602261306479	8.98146625901676	2.8778813529536e-24	1.72745250364633e-23
177	WBGene00000216	asp-3	H22K11.1	Live	protein_coding_gene	-0.278195757167412	10.4608266951137	0.0257106400935231	0.0343048059828059
178	WBGene00000217	asp-4	R12H7.2	Live	protein_coding_gene	-0.142141742716513	7.79575264325628	0.133093944533727	0.160155559873301
179	WBGene00000218	asp-5	F21F8.3	Live	protein_coding_gene	-0.181275116718605	10.0964783360202	0.156885415300723	0.186373002483158
180	WBGene00000219	asp-6	F21F8.7	Live	protein_coding_gene	0.61684728707515	11.3473060847801	1.11487298871405e-06	2.35887294199477e-06
181	WBGene00000220	atf-2	K08F8.2	Live	protein_coding_gene	-3.84838173124936	4.55889132567499	2.48145139742163e-11	7.49775251347523e-11
182	WBGene00000221	atf-4	T04C10.4	Live	protein_coding_gene	-0.124692607860246	7.04332816244003	0.187604739812746	0.220091340399586
183	WBGene00000222	atf-6	F45E6.2	Live	protein_coding_gene	0.0992035574061006	5.46456638076473	0.315290149502544	0.355138460178956
184	WBGene00000223	atf-7	C07G2.2	Live	protein_coding_gene	0.513949269026354	8.62478285945605	1.96062433564013e-07	4.4151040463896e-07
185	WBGene00000224	atgp-1	F26D10.9	Live	protein_coding_gene	0.477765387313837	7.14737544000509	4.07470629808351e-09	1.05206316209036e-08
186	WBGene00000225	atgp-2	C38C6.2	Live	protein_coding_gene	0.205546816282626	6.23092717696916	0.0443334898803848	0.0573054370096454
187	WBGene00000226	atl-1	T06E4.3	Live	protein_coding_gene	0.127958147268207	6.77533980575264	0.147842478758119	0.17636181748907
188	WBGene00000227	atm-1	Y48G1BL.2	Live	protein_coding_gene	0.573163958732753	5.29730127439899	1.70744496654765e-07	3.86808396249532e-07
189	WBGene00000228	atn-1	W04D2.1	Live	protein_coding_gene	-0.612579387205722	7.98405561555094	2.54903772883887e-10	7.17518049379526e-10
190	WBGene00000229	atp-2	C34E10.6	Live	protein_coding_gene	0.181438487864564	12.0785912249873	0.112019633469957	0.136540016217594
191	WBGene00000230	atp-3	F27C1.7	Live	protein_coding_gene	0.217916296775686	9.88819960415606	0.0340637271449594	0.0447209368567337
192	WBGene00000231	atx-2	D2045.1	Live	protein_coding_gene	-0.871769856554106	7.37516342519521	3.25365584596305e-18	1.48120975924612e-17
193	WBGene00000232	avr-14	B0207.12	Live	protein_coding_gene	0.754586031812261	4.49877371060701	1.93034173696306e-09	5.10551326995106e-09
194	WBGene00000233	avr-15	R11G10.1	Live	protein_coding_gene	2.04959165431544	6.05375027394453	1.64633306161205e-76	4.85160125687404e-75
195	WBGene00000235	baf-1	B0464.7	Live	protein_coding_gene	-1.14112760980178	5.90786986959445	9.94550929169504e-12	3.09516697252621e-11
196	WBGene00000236	bag-1	F57B10.11	Live	protein_coding_gene	-1.55557826554963	4.25354256494216	3.07289436698721e-36	2.95567448784357e-35
197	WBGene00000237	bam-2	Y71F9AR.1	Live	protein_coding_gene	-0.0741786304107084	6.32954817393857	0.454313406055447	0.496617050948413
